start-date,end-date,sport,event,venue,
2019-03-08,2019-03-08,CRICKET,Second T20 international: West Indies v England,St. Kitts,
2019-03-08,2019-03-09,TRIATHLON,World Series,Abu Dhabi,
2019-03-08,2019-03-09,RUGBY UNION,Six Nations: England v Italy and Scotland v Wales,,
2019-03-09,2019-03-10,RUGBY LEAGUE,Challenge Cup third round,,
2019-03-10,2019-03-10,CRICKET,Third T20 international: West Indies v England,St. Kitts,
2019-03-10,2019-03-10,MOTOR CYCLING,Losail MotoGP,,
2019-03-10,2019-03-10,RUGBY UNION,Six Nations: Ireland v France,,
2019-03-10,2019-03-17,CYCLING,Paris-Nice,,
2019-03-12,2019-03-15,RACING,Cheltenham Festival,,
2019-03-14,2019-03-14,FOOTBALL,Europa League round of 16 second legs,,
2019-03-14,2019-03-17,GOLF,The Players Championship,Florida,
2019-03-16,2019-03-16,RUGBY UNION,Six Nations: England v Scotland and Italy v France and Wales v Ireland,,
2019-03-16,2019-03-17,FOOTBALL,FA Cup quarter-finals,,
2019-03-16,2019-03-17,MOTOR CYCLING,World Superbikes,Thailand,
2019-03-17,2019-03-17,FOOTBALL,Women’s FA Cup quarter-finals,,
2019-03-17,2019-03-17,MOTOR RACING,Australian Grand Prix,Melbourne,
2019-03-18,2019-03-30,TENNIS,Miami Open,,
2019-03-19,2019-03-19,BASKETBALL,BBL Trophy final,Glasgow,
2019-03-20,2019-03-21,FOOTBALL,Women’s Champions League quarter-final first legs,,
2019-03-21,2019-03-23,FOOTBALL,Euro 2020 qualifying matchday one,,
2019-03-23,2019-03-23,CYCLING,Milan-San Remo,Italy,
2019-03-24,2019-03-26,FOOTBALL,Euro 2020 qualifying matchday two,,
2019-03-24,2019-03-26,FOOTBALL,Women’s Champions League quarter-final second legs,,
2019-03-27,2019-03-31,GOLF,World Golf Championships-Dell Technologies Match Play,Texas,
2019-03-28,2019-03-31,MOTOR RACING,Corsican Rally,,
2019-03-29,2019-03-31,RUGBY UNION,European Champions Cup and Challenge Cup quarter-finals,,
2019-03-30,2019-03-31,RUGBY LEAGUE,Challenge Cup fourth round,,
2019-03-31,2019-03-31,CYCLING,Gent-Wevelgem,Belgium,
2019-03-31,2019-03-31,FOOTBALL,Checkatrade Trophy final,Wembley,
2019-03-31,2019-03-31,MOTOR CYCLING,MotoGP,Termas de Rio Hondo,
2019-04-01,2019-04-07,TENNIS,Volvo Open,Charleston,
2019-04-05,2019-04-05,CRICKET,Start of County Championship season,,
2019-04-06,2019-04-06,RACING,Grand National,Aintree,
2019-04-06,2019-04-07,FOOTBALL,FA Cup semi-finals,,
2019-04-06,2019-04-06,MOTOR CYCLING,World Superbikes,Aragon,
2019-04-07,2019-04-07,CYCLING,Tour of Flanders,Belgium,
2019-04-07,2019-04-07,ROWING,Boat Races,London,
2019-04-09,2019-04-10,FOOTBALL,Champions League quarter-final first legs,,
2019-04-11,2019-04-11,FOOTBALL,Europa League quarter-final first legs,,
2019-04-11,2019-04-14,GOLF,The Masters,Augusta in Georgia,
2019-04-13,2019-04-14,FOOTBALL,Scottish Cup semi-finals,,
2019-04-13,2019-04-14,ICE HOCKEY,Elite League finals,Nottingham,
